DataTypeVer2.0,Time,RawData
NumberOfData,,300
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,-14.8344
,0.1,-9.78064
,0.2,-7.35814
,0.3,-5.62229
,0.4,-15.6968
,0.5,-12.6811
,0.6,-14.1368
,0.7,-13.6204
,0.8,-8.18212
,0.9,-8.29748
,1,-14.8344
,1.1,-14.8344
,1.2,-13.8511
,1.3,-23.7663
,1.4,-21.624
,1.5,-25.6175
,1.6,-20.0529
,1.7,-31.5447
,1.8,-25.1286
,1.9,-28.864
,2,-31.6765
,2.1,-34.8901
,2.2,-33.6321
,2.3,-40.8941
,2.4,-41.4819
,2.5,-39.9713
,2.6,-46.618
,2.7,-48.7769
,2.8,-50.4743
,2.9,-47.2553
,3,-52.3914
,3.1,-45.448
,3.2,-51.5509
,3.3,-53.3417
,3.4,-49.925
,3.5,-43.3716
,3.6,-47.1619
,3.7,-40.9601
,3.8,-34.1485
,3.9,-40.202
,4,-39.6691
,4.1,-35.8734
,4.2,-32.918
,4.3,-39.6527
,4.4,-26.87
,4.5,-31.5337
,4.6,-31.1162
,4.7,-29.8198
,4.8,-26.859
,4.9,-26.3536
,5,-21.5416
,5.1,-31.314
,5.2,-19.8662
,5.3,-18.9213
,5.4,-23.228
,5.5,-22.8105
,5.6,-17.4601
,5.7,-18.7291
,5.8,-12.8568
,5.9,-13.0381
,6,-8.58313
,6.1,-5.39158
,6.2,-9.78614
,6.3,-5.68271
,6.4,-2.2934
,6.5,-3.22176
,6.6,-2.75484
,6.7,-6.14964
,6.8,1.96383
,6.9,-1.58479
,7,-0.13458
,7.1,-3.85348
,7.2,-9.38513
,7.3,-14.307
,7.4,-15.4277
,7.5,-22.3491
,7.6,-20.4924
,7.7,-23.5686
,7.8,-28.2708
,7.9,-29.4243
,8,-25.0133
,8.1,-29.0288
,8.2,-26.7711
,8.3,-29.6331
,8.4,-36.7962
,8.5,-38.3783
,8.6,-35.9338
,8.7,-37.4334
,8.8,-44.201
